basename	artwork_path	staged_pdf_recipe_or_pdf	bought	classes_present
CNX_Chem_02_02_CathodeRay	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_02_CathodeRay.pdf	pdf	0	persistent-gstate
CNX_Chem_02_02_GoldFoil3	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_02_GoldFoil3.pdf	pdf	0	persistent-gstate
CNX_Chem_02_02_Millikan	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_02_Millikan.pdf	pdf	0	persistent-gstate
CNX_Chem_02_02_Rutherford	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_02_Rutherford.pdf	pdf	0	persistent-gstate
CNX_Chem_02_03_AtomSize	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_03_AtomSize.pdf	pdf	0	persistent-gstate
CNX_Chem_02_03_AtomSym	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_03_AtomSym.pdf	pdf	0	persistent-gstate
CNX_Chem_02_03_Iodine	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_03_Iodine.pdf	pdf	0	persistent-gstate
CNX_Chem_02_03_MassSpec	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_03_MassSpec.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_AceticAcid	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_AceticAcid.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Hydrogen	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Hydrogen.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Isomers	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Isomers.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Isomers2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Isomers2.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_MethaneRep	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_MethaneRep.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question3a_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question3a_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question3b_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question3b_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question3c_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question3c_img.pdf	pdf	0	persistent-gstate
CNX_Chem_02_04_Question3d_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_02/Source_File/CNX_Chem_02_04_Question3d_img.pdf	pdf	0	persistent-gstate
