group	basename	artwork	status	blocks_sha256	blocks	sendable	glyphRepairs	glyphUnrepaired
bought	CNX_Chem_04_03_ethene_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_03_ethene_img.pdf	ok	139bba6afb54f12796251a26570dee6690da0bd11c61f06d3b60c5e214a248ce	18	2	[]	[]
bought	CNX_Chem_04_03_flowchart	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_03_flowchart.pdf	ok	23193a84fce24c74b61403c29d156d3b39abc33f2bf080d12be3c99e6e53c461	19	19	[]	[]
bought	CNX_Chem_04_03_map2_img	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch04_Color Contrast_Modified_SourceFiles/CNX_Chem_04_03_map2_img.eps	ok	d8133a9da10e9d06771f4836a50fb69dcf97ae529ad4e88367e38a89960cc54d	7	7	[]	[]
bought	CNX_Chem_04_03_map3_img	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch04_Color Contrast_Modified_SourceFiles/CNX_Chem_04_03_map3_img.eps	ok	4b3fc95155a2016650472c235b049f969407def68114a220d387c7bd6321769f	7	7	[]	[]
bought	CNX_Chem_04_03_moleratio1_img	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch04_Color Contrast_Modified_SourceFiles/CNX_Chem_04_03_moleratio1_img.eps	ok	47552d51ccc78dd5fae73b1f0773e16469b68ac7c3ecbbb492791101af73cbda	3	3	[]	[]
bought	CNX_Chem_04_03_moleratio2_img	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch04_Color Contrast_Modified_SourceFiles/CNX_Chem_04_03_moleratio2_img.eps	ok	b9574bca9681c226c12c7653026f128731e13951419ec9d9f509e6ec8017a716	5	5	[]	[]
bought	CNX_Chem_04_04_GreenChem	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_04_GreenChem.pdf	ok	e2cbe2641e18f3b30886f9fc75cb1dff3924f4bf8bac84c9080e6064913bcea8	10	1	[]	[]
bought	CNX_Chem_04_04_limiting	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_04_limiting.pdf	ok	4a8ab9ca4c38cadf1d9a45e50726983fccec4797056060ede18328b63d4a753b	4	4	[]	[]
bought	CNX_Chem_04_04_sandwich	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_04_sandwich.pdf	ok	3f03d3bd956cb9b36c43528a6425ed1f3c194f5b6375ec4ef94886354d8ae09b	7	7	[]	[]
bought	CNX_Chem_04_05_combmap_img	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch04_Color Contrast_Modified_SourceFiles/CNX_Chem_04_05_combmap_img.eps	ok	c55c27f25171360bf027772ca18dbeff9f1874a58df4ed2ce9bf51f9e9f1eb9d	15	15	[]	[]
bought	CNX_Chem_04_05_combustion	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_05_combustion.pdf	ok	656881fd2ef598be4880abdfe84eec89ad0dd9897358d93632ac03998f602bba	7	6	[]	[]
bought	CNX_Chem_04_05_map7_img	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch04_Color Contrast_Modified_SourceFiles/CNX_Chem_04_05_map7_img.eps	ok	1b02f210cbacb48c5de08f2aa52cb39691480cae4dfe3c5ace2e6907ba71a470	7	7	[]	[]
bought	CNX_Chem_04_05_map8_img	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Color Contrast Modified/OSX_Chem_2e_Ch04_Color Contrast_Modified_SourceFiles/CNX_Chem_04_05_map8_img.eps	ok	fc090a75c745c972e4a33ac7233b798a10d9e221a0a30571147652dd7f107088	9	9	[]	[]
bought	CNX_Chem_14_03_FishLemon	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_14/Source_File/CNX_Chem_14_03_FishLemon.pdf	ok	25721d89ffb04d14519175e080069ea2e1dd90bafd441e63d2f5a66fe7c97dc8	12	6	[]	[]
hazard	CNX_Chem_10_01_PentIso	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_10/Source_Files/CNX_Chem_10_01_PentIso.eps	ok	058d44237951a5333c16400c122ee29846f6461c94a6df24c60f90d08579332d	6	6	[{"glyph": "H11034", "to": "°", "count": 3}]	[]
hazard	CNX_Chem_09_02_Amontons2	/home/siggi/dev/repos/Myndir/chemistry-2e/selected-art/OSX_Chem2e_Ch09_SourceFiles/CNX_Chem_09_02_Amontons2.eps	ok	f4f0c1cecb4b90cb18d267d39f904ebdc2747e54f50edcd1f76cbceb6cbe7852	30	5	[{"glyph": "H11002", "to": "−", "count": 2}]	[]
hazard	CNX_Chem_11_04_rvosmosis	-	refused:production-page	-	-	-	-	-
hazard	CNX_Chem_18_07_N2O5	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_18/Source_File/CNX_Chem_18_07_N2O5.eps	ok	016ebb469d0852a3d62bb216caf3b9b1c4a406f75d74ac4ced924eda5a5c0702	7	0	[]	[]
